# ASCII file created 2001/8/19 (16:50:52)  

[ Rich Calibrater Parameters Setup ]

Sector  Row     Column
6       96      96

[ Rich Calibrater Parameters: Sector 0 ]

Row	Column	Slope	Offset	Sigma	
52	18	1	44.6373	0.880226	
53	18	1	39.2141	0.880831	
54	18	1	31.1872	0.874955	
55	18	1	31.341	0.913418	
56	18	1	61.6887	0.923519	
57	18	1	41.1271	0.856643	
58	18	1	38.8048	0.913815	
59	18	1	49.7051	0.923761	
60	18	1	40.6929	0.910053	
61	18	1	35.6704	0.946161	
62	18	1	41.7417	0.89896	
63	18	1	61.061	0.862624	
64	18	1	47.5253	0.928399	
65	18	1	50.0407	0.872915	
66	18	1	33.6176	0.888408	
67	18	1	56.0744	0.846121	
68	18	1	54.3075	0.84044	
69	18	1	72.7937	0.867839	
70	18	1	37.8976	0.935113	
71	18	1	49.899	0.870699	
72	18	1	43.3688	0.89177	
73	18	1	45.2281	0.918836	
74	18	1	71.1516	0.934556	
75	18	1	62.7546	0.842774	
76	18	1	73.3703	0.870913	
77	18	1	53.9762	0.903218	
78	18	1	14.9836	0.943941	
79	18	1	37.1448	0.901873	
80	18	1	41.1581	0.843835	
81	18	1	53.0895	0.910026	
82	18	1	36.055	0.935474	
83	18	1	54.2593	0.867135	
84	18	1	32.5393	0.87642	
43	19	1	78.7403	0.907635	
44	19	1	36.7873	0.877041	
45	19	1	48.7004	0.914419	
46	19	1	56.8528	0.847373	
47	19	1	55.2541	0.884356	
48	19	1	60.3652	0.895821	
49	19	1	63.6273	0.867607	
50	19	1	28.6359	0.852687	
51	19	1	52.798	0.882218	
52	19	1	44.3663	0.846686	
53	19	1	34.3408	0.83348	
54	19	1	25.9641	0.892687	
55	19	1	21.4701	0.839538	
56	19	1	61.8213	0.942317	
57	19	1	47.6771	0.895851	
58	19	1	66.7119	0.867708	
59	19	1	63.8645	0.839319	
60	19	1	55.8858	0.863859	
61	19	1	38.843	0.90434	
62	19	1	30.2306	0.857377	
63	19	1	47.9252	0.865541	
64	19	1	59.7942	0.866036	
65	19	1	46.4221	0.899056	
66	19	1	45.1142	0.885145	
67	19	1	61.3221	0.844921	
68	19	1	45.4076	0.835372	
69	19	1	63.1826	0.875522	
70	19	1	38.4599	0.981975	
71	19	1	36.9316	0.884879	
72	19	1	16.2073	0.896103	
73	19	1	64.0676	0.886902	
74	19	1	57.5528	0.965641	
75	19	1	73.5406	0.876856	
76	19	1	61.3573	0.787051	
77	19	1	52.6574	0.840761	
78	19	1	31.1197	0.859221	
79	19	1	14.0819	0.917179	
80	19	1	57.1672	0.846449	
81	19	1	59.1972	0.918595	
82	19	1	55.0416	0.91473	
83	19	1	54.551	0.89904	
84	19	1	71.0398	0.988744	
41	20	1	53.9905	0.903242	
42	20	1	44.8003	0.842345	
43	20	1	75.1706	0.895485	
44	20	1	54.5671	0.897786	
45	20	1	45.4058	0.92124	
46	20	1	68.756	0.848346	
47	20	1	60.2766	0.87163	
48	20	1	69.4117	0.852349	
49	20	1	56.1852	0.958158	
50	20	1	53.1523	0.834947	
51	20	1	38.3658	0.822102	
52	20	1	41.7531	0.823004	
53	20	1	43.1039	0.794209	
54	20	1	38.3679	0.805802	
55	20	1	17.4163	0.968229	
56	20	1	41.4172	0.976009	
57	20	1	66.9814	0.936356	
58	20	1	41.6317	0.891845	
59	20	1	49.5679	0.865048	
60	20	1	55.2431	0.927812	
61	20	1	54.1899	0.839743	
62	20	1	42.8029	0.907509	
63	20	1	41.6639	0.897101	
64	20	1	34.4643	0.891935	
65	20	1	49.9106	0.82485	
66	20	1	54.638	0.833625	
67	20	1	69.5301	0.876252	
68	20	1	59.6522	0.894816	
69	20	1	50.8613	0.889764	
70	20	1	59.1538	0.889762	
71	20	1	57.9503	0.955813	
72	20	1	69.1413	0.884955	
73	20	1	74.8328	0.892922	
74	20	1	62.5134	0.988256	
75	20	1	51.525	0.898477	
76	20	1	66.1984	0.88487	
77	20	1	53.9215	0.843374	
78	20	1	59.9727	0.925317	
79	20	1	56.4699	0.924151	
80	20	1	50.0768	0.873055	
81	20	1	37.4872	0.87695	
82	20	1	48.2179	0.946185	
83	20	1	51.534	0.974675	
84	20	1	73.9138	0.916506	
85	20	1	67.1165	0.909621	
39	21	1	47.6371	0.926679	
40	21	1	37.261	0.930591	
41	21	1	53.6056	0.896489	
42	21	1	48.8714	0.861278	
43	21	1	42.3751	0.864073	
44	21	1	52.3482	0.875243	
45	21	1	65.6714	0.876925	
46	21	1	48.4671	0.938042	
47	21	1	44.7166	0.873703	
48	21	1	53.2646	0.898998	
49	21	1	48.1055	0.882115	
50	21	1	52.8063	0.828729	
51	21	1	39.9991	0.906054	
52	21	1	45.6308	0.936729	
53	21	1	29.6312	0.836667	
54	21	1	20.8248	0.81368	
55	21	1	47.7637	0.872624	
56	21	1	39.2042	0.842828	
57	21	1	65.6036	0.868272	
58	21	1	58.2339	0.836171	
59	21	1	59.6778	0.871923	
60	21	1	76.1215	0.900706	
61	21	1	60.8145	0.844643	
62	21	1	50.7581	0.910683	
63	21	1	46.8737	0.879381	
64	21	1	51.8188	0.894007	
65	21	1	59.9131	0.847407	
66	21	1	58.1328	0.812663	
67	21	1	62.5758	0.835091	
68	21	1	42.6644	0.840091	
69	21	1	79.3446	0.862288	
70	21	1	69.3387	0.889683	
71	21	1	74.7515	0.912682	
72	21	1	62.9345	0.887882	
73	21	1	57.5885	0.895022	
74	21	1	48.2891	0.883457	
75	21	1	54.2715	0.889166	
76	21	1	49.0941	0.891653	
77	21	1	62.126	0.906917	
78	21	1	61.0152	0.911833	
79	21	1	54.5163	0.883044	
80	21	1	54.435	0.917312	
81	21	1	55.7876	0.898086	
82	21	1	52.5944	0.957957	
83	21	1	28.3135	0.887199	
84	21	1	50.4948	0.872193	
85	21	1	39.0975	0.912251	
37	22	1	53.2416	0.945279	
38	22	1	60.8862	0.943924	
39	22	1	30.4771	0.921868	
40	22	1	36.0605	0.868899	
41	22	1	36.7955	0.846081	
42	22	1	47.6557	0.842254	
43	22	1	52.8651	0.927734	
44	22	1	44.5571	0.878234	
45	22	1	49.1734	0.873537	
46	22	1	65.2117	0.831255	
47	22	1	46.8342	0.854889	
48	22	1	51.0442	0.884273	
49	22	1	46.4223	0.866852	
50	22	1	47.5773	0.8971	
51	22	1	58.6531	0.840813	
52	22	1	60.4567	0.869873	
53	22	1	53.0723	0.881	
54	22	1	36.2108	0.871653	
55	22	1	37.4243	0.879291	
56	22	1	64.9088	0.858942	
57	22	1	54.6632	0.856527	
58	22	1	47.7294	0.837074	
59	22	1	60.118	0.900014	
60	22	1	51.4271	0.904884	
61	22	1	61.2075	0.857087	
62	22	1	51.2259	0.89474	
63	22	1	54.8902	0.874006	
64	22	1	42.4457	0.873599	
65	22	1	55.291	0.922419	
66	22	1	36.3159	0.836765	
67	22	1	48.4016	0.842423	
68	22	1	53.4784	0.840586	
69	22	1	76.8309	0.925428	
70	22	1	57.255	0.937544	
71	22	1	66.7056	0.892259	
72	22	1	57.276	0.904449	
73	22	1	59.7986	0.889315	
74	22	1	46.8662	0.937762	
75	22	1	69.0761	0.841425	
76	22	1	45.1422	0.897175	
77	22	1	47.4379	0.840267	
78	22	1	61.9106	0.883973	
79	22	1	52.1907	0.892797	
80	22	1	55.0884	0.961524	
81	22	1	74.3958	0.889217	
82	22	1	63.4542	0.88325	
83	22	1	49.9619	0.940502	
84	22	1	53.458	0.947454	
85	22	1	47.4456	0.969599	
35	23	1	43.0324	0.944976	
36	23	1	47.3586	0.940863	
37	23	1	41.5779	1.05085	
38	23	1	73.0004	0.8476	
39	23	1	38.6053	1.01516	
40	23	1	48.6308	0.873655	
41	23	1	54.3108	0.897721	
42	23	1	48.0744	0.872981	
43	23	1	55.8347	0.857576	
44	23	1	42.9022	0.845128	
45	23	1	48.1956	0.884106	
46	23	1	65.9771	0.908107	
47	23	1	50.7323	0.831361	
48	23	1	55.3724	0.863801	
49	23	1	56.6463	0.84381	
50	23	1	51.863	0.848118	
51	23	1	56.5225	0.862917	
52	23	1	56.0437	0.899201	
53	23	1	45.0832	0.854887	
54	23	1	35.1929	0.880571	
55	23	1	49.9662	0.818272	
56	23	1	66.3296	0.940657	
57	23	1	51.1384	0.883942	
58	23	1	34.5498	0.850897	
59	23	1	72.599	0.914643	
60	23	1	41.7916	0.849271	
61	23	1	47.4297	0.845002	
62	23	1	64.2218	0.848676	
63	23	1	33.5724	0.885807	
64	23	1	70.6831	0.922777	
65	23	1	53.5787	0.940385	
66	23	1	72.7166	0.879629	
67	23	1	57.2681	0.843715	
68	23	1	65.7691	0.933034	
69	23	1	55.9606	0.941706	
70	23	1	51.8495	0.91594	
71	23	1	57.061	0.921424	
72	23	1	51.1815	0.910121	
73	23	1	36.7725	0.884458	
74	23	1	55.7304	0.916813	
75	23	1	60.3134	0.889472	
76	23	1	56.4139	0.911492	
77	23	1	45.8703	0.87753	
78	23	1	58.1387	0.904267	
79	23	1	42.5762	0.977018	
80	23	1	59.2936	0.925476	
81	23	1	52.7809	0.932077	
82	23	1	48.618	0.895498	
83	23	1	58.7118	0.87733	
84	23	1	44.7992	0.873331	
85	23	1	62.7757	0.864514	
86	23	1	46.8792	0.910903	
33	24	1	51.8482	0.959525	
34	24	1	36.4384	0.976247	
35	24	1	34.0381	0.944487	
36	24	1	36.2418	0.929316	
37	24	1	44.5245	0.936252	
38	24	1	57.952	0.866942	
39	24	1	57.0039	0.91057	
40	24	1	37.7318	0.860634	
41	24	1	60.5257	0.860941	
42	24	1	60.9736	0.850983	
43	24	1	59.1562	0.86355	
44	24	1	34.845	0.840508	
45	24	1	56.9589	0.834454	
46	24	1	69.6823	0.84451	
47	24	1	65.9693	0.855359	
48	24	1	63.3127	0.850816	
49	24	1	63.9771	0.870147	
50	24	1	62.5061	0.853347	
51	24	1	37.784	0.86589	
52	24	1	63.426	0.840415	
53	24	1	50.1662	0.90716	
54	24	1	59.4972	0.83449	
55	24	1	37.444	0.817687	
56	24	1	50.8237	0.832418	
57	24	1	55.5898	0.851563	
58	24	1	58.513	0.861105	
59	24	1	71.5275	0.89077	
60	24	1	53.2167	0.886564	
61	24	1	46.7758	0.829784	
62	24	1	72.0506	0.845065	
63	24	1	52.4613	0.875164	
64	24	1	81.7218	0.873391	
65	24	1	69.2742	0.846032	
66	24	1	77.9278	0.882584	
67	24	1	77.6785	0.892518	
68	24	1	72.2858	0.842764	
69	24	1	67.914	0.878393	
70	24	1	85.8975	0.867701	
71	24	1	61.2278	0.924389	
72	24	1	64.4937	0.883431	
73	24	1	54.9164	0.94744	
74	24	1	62.1582	0.851193	
75	24	1	58.8477	0.907997	
76	24	1	53.0806	0.903732	
77	24	1	56.7666	0.883589	
78	24	1	63.7016	0.879936	
79	24	1	60.567	0.910942	
80	24	1	60.1594	0.912117	
81	24	1	74.5962	0.892688	
82	24	1	47.2778	0.927278	
83	24	1	60.7674	0.882922	
84	24	1	61.1074	0.937957	
85	24	1	57.0632	0.943547	
86	24	1	56.8657	0.95371	
31	25	1	55.6418	1.15563	
32	25	1	61.8802	1.21349	
33	25	1	62.5977	0.857535	
34	25	1	36.5158	0.990368	
35	25	1	24.3962	0.933125	
36	25	1	34.9676	1.05362	
37	25	1	47.9719	0.981924	
38	25	1	55.831	0.949163	
39	25	1	48.8888	0.967322	
40	25	1	37.3707	0.872517	
41	25	1	75.6105	0.865669	
42	25	1	56.8944	0.856086	
43	25	1	60.2093	0.835878	
44	25	1	29.3141	0.881161	
45	25	1	68.3418	0.883211	
46	25	1	66.3154	0.85902	
47	25	1	61.9511	0.83541	
48	25	1	61.1151	0.886987	
49	25	1	47.3092	0.874047	
50	25	1	55.4976	0.859568	
51	25	1	54.4825	0.856106	
52	25	1	44.653	0.831125	
53	25	1	57.5342	0.903213	
54	25	1	59.4432	0.819561	
55	25	1	32.981	0.861811	
56	25	1	44.9407	0.813718	
57	25	1	44.0251	0.806855	
58	25	1	37.4047	0.829148	
59	25	1	70.7971	0.864678	
60	25	1	75.5731	0.886859	
61	25	1	72.3701	0.821744	
62	25	1	81.6783	0.850576	
63	25	1	52.7618	0.829219	
64	25	1	54.5881	0.878268	
65	25	1	64.0381	0.846161	
66	25	1	81.8987	0.872638	
67	25	1	60.0009	0.854139	
68	25	1	59.6081	0.900254	
69	25	1	52.1643	0.905952	
70	25	1	65.3965	0.863888	
71	25	1	46.1425	0.913726	
72	25	1	38.4846	0.887541	
73	25	1	59.6511	0.881561	
74	25	1	45.9147	0.827605	
75	25	1	45.8211	0.959114	
76	25	1	46.0909	0.814187	
77	25	1	67.2108	0.891104	
78	25	1	50.0264	0.894667	
79	25	1	66.5866	0.899481	
80	25	1	58.2767	0.881107	
81	25	1	59.5613	0.932238	
82	25	1	62.1135	0.93281	
83	25	1	52.6522	0.892327	
84	25	1	67.936	0.832408	
85	25	1	58.2792	0.913953	
86	25	1	62.7098	0.980659	
29	26	1	67.1596	1.0703	
30	26	1	64.5186	0.960804	
31	26	1	46.6419	0.993857	
32	26	1	75.3167	1.02191	
33	26	1	66.9438	0.884481	
34	26	1	39.6395	0.868582	
35	26	1	53.4563	0.904718	
36	26	1	56.1288	0.875366	
37	26	1	64.4533	0.897845	
