# ASCII file created 2001/8/2 (19:45:48)  


[ Rich Mapping Parameters Setup ]

MaxPads MaxRows MaxCols MaxRCs MaxPorts MaxModules MaxChannels UnconnCh 
4712	96	96	2	8	5	64	88	

[ Rich Mapping Parameters ]

Col	Row	RC	Port	Module	Channel	
33	17	0	1	0	32	
34	17	0	1	0	33	
41	20	0	1	0	34	
41	19	0	1	0	35	
39	18	0	1	0	36	
40	18	0	1	0	37	
37	18	0	1	0	38	
38	18	0	1	0	39	
35	18	0	1	0	40	
36	18	0	1	0	41	
33	18	0	1	0	42	
34	18	0	1	0	43	
40	20	0	1	0	44	
32	18	0	1	0	45	
31	20	0	1	0	46	
40	19	0	1	0	47	
33	20	0	1	0	48	
32	20	0	1	0	49	
35	20	0	1	0	50	
34	20	0	1	0	51	
37	20	0	1	0	52	
36	20	0	1	0	53	
39	20	0	1	0	54	
39	19	0	1	0	55	
33	19	0	1	0	56	
32	19	0	1	0	57	
35	19	0	1	0	58	
34	19	0	1	0	59	
37	19	0	1	0	60	
36	19	0	1	0	61	
38	20	0	1	0	62	
38	19	0	1	0	63	
57	20	0	1	1	0	
57	19	0	1	1	1	
58	19	0	1	1	2	
59	19	0	1	1	3	
60	19	0	1	1	4	
61	19	0	1	1	5	
62	19	0	1	1	6	
63	19	0	1	1	7	
58	20	0	1	1	8	
59	20	0	1	1	9	
60	20	0	1	1	10	
56	19	0	1	1	11	
56	20	0	1	1	12	
61	20	0	1	1	13	
62	20	0	1	1	14	
63	20	0	1	1	15	
64	20	0	1	1	16	
63	18	0	1	1	17	
62	18	0	1	1	18	
61	18	0	1	1	19	
60	18	0	1	1	20	
59	18	0	1	1	21	
58	18	0	1	1	22	
55	19	0	1	1	23	
55	20	0	1	1	24	
57	18	0	1	1	25	
56	18	0	1	1	26	
55	18	0	1	1	27	
62	17	0	1	1	28	
61	17	0	1	1	29	
61	16	0	1	1	30	
60	17	0	1	1	31	
60	16	0	1	1	32	
54	19	0	1	1	33	
54	20	0	1	1	34	
54	18	0	1	1	35	
59	17	0	1	1	36	
59	16	0	1	1	37	
58	16	0	1	1	38	
58	17	0	1	1	39	
57	17	0	1	1	40	
57	16	0	1	1	41	
55	17	0	1	1	42	
53	18	0	1	1	43	
53	19	0	1	1	44	
54	17	0	1	1	45	
53	17	0	1	1	46	
52	18	0	1	1	47	
53	20	0	1	1	48	
52	19	0	1	1	49	
52	20	0	1	1	50	
51	17	0	1	1	51	
50	18	0	1	1	52	
51	18	0	1	1	53	
49	17	0	1	1	54	
49	18	0	1	1	55	
48	18	0	1	1	56	
48	17	0	1	1	57	
49	19	0	1	1	58	
48	19	0	1	1	59	
50	20	0	1	1	60	
50	19	0	1	1	61	
51	20	0	1	1	62	
51	19	0	1	1	63	
43	23	0	1	2	0	
43	22	0	1	2	1	
46	22	0	1	2	2	
45	22	0	1	2	3	
44	22	0	1	2	4	
42	22	0	1	2	5	
42	23	0	1	2	6	
42	21	0	1	2	7	
43	21	0	1	2	8	
44	21	0	1	2	9	
45	21	0	1	2	10	
46	21	0	1	2	11	
47	21	0	1	2	12	
46	20	0	1	2	13	
42	24	0	1	2	14	
47	20	0	1	2	15	
41	23	0	1	2	16	
41	22	0	1	2	17	
41	24	0	1	2	18	
41	21	0	1	2	19	
40	24	0	1	2	20	
39	24	0	1	2	21	
38	24	0	1	2	22	
40	21	0	1	2	23	
40	23	0	1	2	24	
40	22	0	1	2	25	
38	21	0	1	2	26	
39	21	0	1	2	27	
36	21	0	1	2	28	
37	21	0	1	2	29	
39	23	0	1	2	30	
35	21	0	1	2	31	
33	21	0	1	2	32	
34	21	0	1	2	33	
31	21	0	1	2	34	
32	21	0	1	2	35	
29	24	0	1	2	36	
39	22	0	1	2	37	
31	24	0	1	2	38	
30	24	0	1	2	39	
33	24	0	1	2	40	
32	24	0	1	2	41	
35	24	0	1	2	42	
34	24	0	1	2	43	
37	24	0	1	2	44	
36	24	0	1	2	45	
38	23	0	1	2	46	
38	22	0	1	2	47	
34	22	0	1	2	48	
35	22	0	1	2	49	
32	22	0	1	2	50	
33	22	0	1	2	51	
37	23	0	1	2	52	
37	22	0	1	2	53	
30	22	0	1	2	54	
31	22	0	1	2	55	
31	23	0	1	2	56	
30	23	0	1	2	57	
33	23	0	1	2	58	
32	23	0	1	2	59	
35	23	0	1	2	60	
34	23	0	1	2	61	
36	23	0	1	2	62	
36	22	0	1	2	63	
59	23	0	1	3	0	
59	22	0	1	3	1	
60	23	0	1	3	2	
60	22	0	1	3	3	
61	23	0	1	3	4	
61	22	0	1	3	5	
62	23	0	1	3	6	
62	22	0	1	3	7	
63	23	0	1	3	8	
63	22	0	1	3	9	
58	23	0	1	3	10	
58	22	0	1	3	11	
64	23	0	1	3	12	
64	22	0	1	3	13	
65	23	0	1	3	14	
65	22	0	1	3	15	
58	24	0	1	3	16	
58	21	0	1	3	17	
57	24	0	1	3	18	
59	21	0	1	3	19	
57	23	0	1	3	20	
57	22	0	1	3	21	
59	24	0	1	3	22	
60	21	0	1	3	23	
60	24	0	1	3	24	
61	21	0	1	3	25	
61	24	0	1	3	26	
62	21	0	1	3	27	
62	24	0	1	3	28	
63	21	0	1	3	29	
56	24	0	1	3	30	
64	21	0	1	3	31	
56	23	0	1	3	32	
56	22	0	1	3	33	
63	24	0	1	3	34	
57	21	0	1	3	35	
64	24	0	1	3	36	
56	21	0	1	3	37	
65	24	0	1	3	38	
55	22	0	1	3	39	
66	24	0	1	3	40	
55	21	0	1	3	41	
55	23	0	1	3	42	
54	21	0	1	3	43	
55	24	0	1	3	44	
53	21	0	1	3	45	
54	23	0	1	3	46	
54	22	0	1	3	47	
54	24	0	1	3	48	
52	21	0	1	3	49	
50	21	0	1	3	50	
51	21	0	1	3	51	
49	21	0	1	3	52	
49	20	0	1	3	53	
48	21	0	1	3	54	
48	20	0	1	3	55	
53	24	0	1	3	56	
49	22	0	1	3	57	
51	22	0	1	3	58	
50	22	0	1	3	59	
53	23	0	1	3	60	
53	22	0	1	3	61	
52	23	0	1	3	62	
52	22	0	1	3	63	
51	26	0	1	4	0	
51	25	0	1	4	1	
52	26	0	1	4	2	
52	25	0	1	4	3	
53	26	0	1	4	4	
53	25	0	1	4	5	
50	26	0	1	4	6	
50	25	0	1	4	7	
53	27	0	1	4	8	
50	24	0	1	4	9	
52	28	0	1	4	10	
51	24	0	1	4	11	
52	27	0	1	4	12	
52	24	0	1	4	13	
51	27	0	1	4	14	
49	25	0	1	4	15	
50	27	0	1	4	16	
49	24	0	1	4	17	
49	26	0	1	4	18	
51	23	0	1	4	19	
49	27	0	1	4	20	
50	23	0	1	4	21	
49	23	0	1	4	23	
48	27	0	1	4	24	
48	25	0	1	4	25	
48	26	0	1	4	26	
48	24	0	1	4	27	
48	23	0	1	4	28	
48	22	0	1	4	29	
47	23	0	1	4	34	
47	22	0	1	4	35	
47	26	0	1	4	36	
47	24	0	1	4	37	
47	27	0	1	4	38	
47	25	0	1	4	39	
46	23	0	1	4	41	
46	27	0	1	4	42	
45	23	0	1	4	43	
46	26	0	1	4	44	
44	23	0	1	4	45	
45	27	0	1	4	46	
46	24	0	1	4	47	
44	27	0	1	4	48	
46	25	0	1	4	49	
43	27	0	1	4	50	
43	24	0	1	4	51	
43	28	0	1	4	52	
44	24	0	1	4	53	
42	27	0	1	4	54	
45	24	0	1	4	55	
45	26	0	1	4	56	
45	25	0	1	4	57	
42	26	0	1	4	58	
42	25	0	1	4	59	
43	26	0	1	4	60	
43	25	0	1	4	61	
44	26	0	1	4	62	
44	25	0	1	4	63	
41	27	0	2	0	0	
41	26	0	2	0	1	
42	28	0	2	0	2	
41	25	0	2	0	3	
41	28	0	2	0	4	
40	25	0	2	0	5	
40	27	0	2	0	6	
40	26	0	2	0	7	
40	28	0	2	0	8	
39	28	0	2	0	12	
39	25	0	2	0	13	
39	27	0	2	0	14	
39	26	0	2	0	15	
38	28	0	2	0	20	
38	25	0	2	0	21	
38	27	0	2	0	22	
38	26	0	2	0	23	
36	25	0	2	0	24	
37	25	0	2	0	25	
34	25	0	2	0	26	
35	25	0	2	0	27	
32	25	0	2	0	28	
33	25	0	2	0	29	
30	25	0	2	0	30	
31	25	0	2	0	31	
37	28	0	2	0	32	
29	25	0	2	0	33	
37	27	0	2	0	34	
28	25	0	2	0	35	
36	28	0	2	0	36	
37	26	0	2	0	37	
30	28	0	2	0	38	
29	28	0	2	0	39	
32	28	0	2	0	40	
31	28	0	2	0	41	
34	28	0	2	0	42	
33	28	0	2	0	43	
36	27	0	2	0	44	
35	28	0	2	0	45	
28	26	0	2	0	46	
36	26	0	2	0	47	
30	26	0	2	0	48	
29	26	0	2	0	49	
32	26	0	2	0	50	
31	26	0	2	0	51	
35	27	0	2	0	52	
33	26	0	2	0	53	
27	27	0	2	0	54	
35	26	0	2	0	55	
29	27	0	2	0	56	
28	27	0	2	0	57	
31	27	0	2	0	58	
30	27	0	2	0	59	
33	27	0	2	0	60	
32	27	0	2	0	61	
34	27	0	2	0	62	
34	26	0	2	0	63	
61	27	0	2	1	0	
61	26	0	2	1	1	
63	27	0	2	1	2	
62	27	0	2	1	3	
65	27	0	2	1	4	
64	27	0	2	1	5	
67	27	0	2	1	6	
66	27	0	2	1	7	
60	26	0	2	1	8	
68	27	0	2	1	9	
60	27	0	2	1	10	
62	26	0	2	1	11	
64	26	0	2	1	12	
63	26	0	2	1	13	
66	26	0	2	1	14	
65	26	0	2	1	15	
68	28	0	2	1	16	
67	26	0	2	1	17	
66	28	0	2	1	18	
67	28	0	2	1	19	
59	27	0	2	1	20	
65	28	0	2	1	21	
59	28	0	2	1	22	
59	26	0	2	1	23	
63	28	0	2	1	24	
64	28	0	2	1	25	
61	28	0	2	1	26	
62	28	0	2	1	27	
58	28	0	2	1	28	
60	28	0	2	1	29	
58	27	0	2	1	30	
58	26	0	2	1	31	
60	25	0	2	1	32	
59	25	0	2	1	33	
62	25	0	2	1	34	
61	25	0	2	1	35	
64	25	0	2	1	36	
63	25	0	2	1	37	
66	25	0	2	1	38	
65	25	0	2	1	39	
57	27	0	2	1	40	
67	25	0	2	1	41	
57	26	0	2	1	43	
58	25	0	2	1	45	
57	25	0	2	1	47	
56	25	0	2	1	49	
56	27	0	2	1	50	
56	26	0	2	1	51	
55	28	0	2	1	54	
54	28	0	2	1	56	
55	25	0	2	1	57	
55	27	0	2	1	58	
55	26	0	2	1	59	
53	28	0	2	1	60	
54	25	0	2	1	61	
54	27	0	2	1	62	
54	26	0	2	1	63	
40	30	0	2	2	0	
40	29	0	2	2	1	
40	32	0	2	2	2	
40	31	0	2	2	3	
39	31	0	2	2	4	
39	32	0	2	2	5	
39	30	0	2	2	6	
39	29	0	2	2	7	
29	32	0	2	2	8	
38	29	0	2	2	9	
38	32	0	2	2	10	
30	32	0	2	2	11	
38	30	0	2	2	12	
38	31	0	2	2	13	
32	32	0	2	2	14	
31	32	0	2	2	15	
34	32	0	2	2	16	
33	32	0	2	2	17	
36	32	0	2	2	18	
35	32	0	2	2	19	
37	31	0	2	2	20	
37	32	0	2	2	21	
37	30	0	2	2	22	
37	29	0	2	2	23	
27	32	0	2	2	24	
28	32	0	2	2	25	
25	32	0	2	2	26	
26	32	0	2	2	27	
35	31	0	2	2	28	
34	31	0	2	2	29	
36	31	0	2	2	30	
33	31	0	2	2	31	
36	30	0	2	2	32	
36	29	0	2	2	33	
31	31	0	2	2	34	
32	31	0	2	2	35	
29	31	0	2	2	36	
30	31	0	2	2	37	
27	31	0	2	2	38	
28	31	0	2	2	39	
25	31	0	2	2	40	
26	31	0	2	2	41	
35	30	0	2	2	42	
35	29	0	2	2	43	
27	28	0	2	2	44	
28	28	0	2	2	45	
27	29	0	2	2	46	
26	29	0	2	2	47	
29	29	0	2	2	48	
28	29	0	2	2	49	
31	29	0	2	2	50	
30	29	0	2	2	51	
34	30	0	2	2	52	
32	29	0	2	2	53	
26	30	0	2	2	54	
34	29	0	2	2	55	
28	30	0	2	2	56	
27	30	0	2	2	57	
30	30	0	2	2	58	
29	30	0	2	2	59	
32	30	0	2	2	60	
31	30	0	2	2	61	
33	30	0	2	2	62	
33	29	0	2	2	63	
51	30	0	2	3	0	
51	29	0	2	3	1	
52	30	0	2	3	2	
52	29	0	2	3	3	
53	30	0	2	3	4	
53	29	0	2	3	5	
54	30	0	2	3	6	
54	29	0	2	3	7	
50	30	0	2	3	8	
50	29	0	2	3	9	
54	31	0	2	3	10	
51	28	0	2	3	11	
53	31	0	2	3	12	
50	28	0	2	3	13	
52	31	0	2	3	14	
51	31	0	2	3	15	
50	31	0	2	3	16	
49	31	0	2	3	17	
49	30	0	2	3	18	
49	29	0	2	3	19	
54	32	0	2	3	20	
49	28	0	2	3	21	
53	32	0	2	3	22	
52	32	0	2	3	23	
51	32	0	2	3	24	
50	32	0	2	3	25	
49	32	0	2	3	26	
48	32	0	2	3	27	
48	31	0	2	3	28	
48	29	0	2	3	29	
48	30	0	2	3	30	
48	28	0	2	3	31	
47	30	0	2	3	32	
47	28	0	2	3	33	
47	31	0	2	3	34	
47	29	0	2	3	35	
46	32	0	2	3	36	
47	32	0	2	3	37	
44	32	0	2	3	38	
45	32	0	2	3	39	
42	32	0	2	3	40	
43	32	0	2	3	41	
41	32	0	2	3	42	
46	28	0	2	3	43	
46	30	0	2	3	44	
46	29	0	2	3	45	
45	31	0	2	3	46	
46	31	0	2	3	47	
43	31	0	2	3	48	
44	31	0	2	3	49	
42	31	0	2	3	50	
45	28	0	2	3	51	
41	31	0	2	3	52	
44	28	0	2	3	53	
45	30	0	2	3	54	
45	29	0	2	3	55	
41	30	0	2	3	56	
41	29	0	2	3	57	
42	30	0	2	3	58	
42	29	0	2	3	59	
43	30	0	2	3	60	
43	29	0	2	3	61	
44	30	0	2	3	62	
44	29	0	2	3	63	
62	30	0	2	4	0	
62	29	0	2	4	1	
63	30	0	2	4	2	
64	30	0	2	4	3	
65	30	0	2	4	4	
66	30	0	2	4	5	
67	30	0	2	4	6	
68	30	0	2	4	7	
69	30	0	2	4	8	
61	29	0	2	4	9	
61	30	0	2	4	10	
